Id,Name,team,position,height,weight,age
470,Ramon Ortiz,MIN,Starting Pitcher,72,175,33.77
471,Johan Santana,MIN,Starting Pitcher,72,206,27.97
472,Carlos Silva,MIN,Starting Pitcher,76,240,27.85
473,Matt Garza,MIN,Starting Pitcher,76,185,23.26
474,Boof Bonser,MIN,Starting Pitcher,76,260,25.38
475,Francisco Liriano,MIN,Starting Pitcher,74,185,23.35
476,Scott Baker,MIN,Starting Pitcher,76,221,25.45
477,Pat Neshek,MIN,Relief Pitcher,75,205,26.49
478,Glen Perkins,MIN,Relief Pitcher,71,200,24
479,Julio DePaula,MIN,Relief Pitcher,72,170,24.16
480,Juan Rincon,MIN,Relief Pitcher,71,201,28.1
481,Jesse Crain,MIN,Relief Pitcher,73,205,25.65
482,Matt Guerrier,MIN,Relief Pitcher,75,185,28.58
483,Joe Nathan,MIN,Relief Pitcher,76,205,32.27
484,Dennys Reyes,MIN,Relief Pitcher,75,245,29.86
485,Brayan Pe?a,ATL,Catcher,71,220,25.14
486,Brian McCann,ATL,Catcher,75,210,23.03
487,Craig Wilson,ATL,First Baseman,74,220,30.25
488,Chris Woodward,ATL,Second Baseman,72,185,30.67
489,Pete Orr,ATL,Second Baseman,73,175,27.73
490,Martin Prado,ATL,Second Baseman,73,170,23.34
491,Tony Pe?a,ATL,Shortstop,73,180,25.94
492,Edgar Renteria,ATL,Shortstop,73,200,31.56
493,Chipper Jones,ATL,Third Baseman,76,210,34.85
494,Willy Aybar,ATL,Third Baseman,72,175,23.98
495,Jeff Francoeur,ATL,Outfielder,76,220,23.14
496,Matt Diaz,ATL,Outfielder,73,206,28.99
497,Kelly Johnson,ATL,Outfielder,73,180,25.02
498,Andruw Jones,ATL,Outfielder,73,210,29.85
499,Ryan Langerhans,ATL,Outfielder,75,195,27.03
500,Scott Thorman,ATL,Outfielder,75,200,25.15
501,T.J. Bohn,ATL,Outfielder,77,200,27.12
502,Tim Hudson,ATL,Starting Pitcher,73,164,31.63
503,Jonathan Johnson,ATL,Starting Pitcher,72,180,32.62
504,John Smoltz,ATL,Starting Pitcher,75,220,39.79
505,Mike Hampton,ATL,Starting Pitcher,70,195,34.47
506,Kyle Davies,ATL,Starting Pitcher,74,205,23.47
507,Chuck James,ATL,Starting Pitcher,72,170,25.31
508,Phil Stockman,ATL,Relief Pitcher,80,240,27.1
509,Macay McBride,ATL,Relief Pitcher,71,210,24.35
510,Joey Devine,ATL,Relief Pitcher,71,195,23.45
511,Peter Moylan,ATL,Relief Pitcher,74,200,28.24
512,Mike Gonzalez,ATL,Relief Pitcher,74,205,28.77
513,Lance Cormier,ATL,Relief Pitcher,73,192,26.53
514,Blaine Boyer,ATL,Relief Pitcher,75,190,25.64
515,Manny Acosta,ATL,Relief Pitcher,76,170,25.83
516,Bob Wickman,ATL,Relief Pitcher,73,240,38.06
517,Tanyon Sturtze,ATL,Relief Pitcher,77,200,36.38
518,Oscar Villarreal,ATL,Relief Pitcher,72,205,25.27
519,Rafael Soriano,ATL,Relief Pitcher,73,175,27.2
520,Chad Paronto,ATL,Relief Pitcher,77,250,31.59
521,Tyler Yates,ATL,Relief Pitcher,76,220,29.56
522,Henry Blanco,CHC,Catcher,71,224,35.5
523,Michael Barrett,CHC,Catcher,75,210,30.35
524,Geovany Soto,CHC,Catcher,73,195,24.11
525,Scott Moore,CHC,First Baseman,74,180,23.29
526,Derrek Lee,CHC,First Baseman,77,245,31.48
527,Ryan Theriot,CHC,Second Baseman,71,175,27.23
528,Ronny Cedeno,CHC,Shortstop,72,180,24.07
529,Aramis Ramirez,CHC,Third Baseman,73,215,28.68
530,Cesar Izturis,CHC,Third Baseman,69,175,27.05
531,Alfonso Soriano,CHC,Outfielder,73,180,31.15
532,Jacque Jones,CHC,Outfielder,70,195,31.85
533,Daryle Ward,CHC,Outfielder,74,230,31.68
534,Cliff Floyd,CHC,Outfielder,76,230,34.23
535,Mark DeRosa,CHC,Outfielder,73,205,32.01
536,Matt Murton,CHC,Outfielder,73,215,25.41
537,Buck Coats,CHC,Outfielder,75,195,24.73
538,Angel Pagan,CHC,Outfielder,73,180,25.66
539,Sean Marshall,CHC,Starting Pitcher,79,205,24.5
540,Carlos Marmol,CHC,Starting Pitcher,74,180,24.38
541,Ryan O'Malley,CHC,Starting Pitcher,73,190,26.89
542,Juan Mateo,CHC,Starting Pitcher,74,180,24.2
543,Rich Hill,CHC,Starting Pitcher,77,190,26.97
544,Angel Guzman,CHC,Starting Pitcher,75,190,25.21
545,Wade Miller,CHC,Starting Pitcher,74,220,30.46
546,Jason Marquis,CHC,Starting Pitcher,73,210,28.53
547,Carlos Zambrano,CHC,Starting Pitcher,77,255,25.75
548,Ted Lilly,CHC,Starting Pitcher,73,190,31.15
549,Mark Prior,CHC,Starting Pitcher,77,230,26.48
550,Neal Cotts,CHC,Relief Pitcher,74,200,26.93
551,Will Ohman,CHC,Relief Pitcher,74,205,29.55
552,Scott Eyre,CHC,Relief Pitcher,73,210,34.75
553,Kerry Wood,CHC,Relief Pitcher,77,225,29.71
554,Ryan Dempster,CHC,Relief Pitcher,74,215,29.83
555,Bob Howry,CHC,Relief Pitcher,77,220,33.57
556,Mike Wuertz,CHC,Relief Pitcher,75,205,28.21
557,Roberto Novoa,CHC,Relief Pitcher,77,200,27.54
558,Chris Snyder,ARZ,Catcher,75,220,26.05
559,Miguel Montero,ARZ,Catcher,71,197,23.64
560,Conor Jackson,ARZ,First Baseman,74,225,24.82
561,Robby Hammock,ARZ,First Baseman,70,187,29.8
562,Tony Clark,ARZ,First Baseman,79,245,34.71
563,Orlando Hudson,ARZ,Second Baseman,72,185,29.22
564,Stephen Drew,ARZ,Shortstop,72,185,23.96
565,Alberto Callaspo,ARZ,Shortstop,70,175,23.87
566,Chad Tracy,ARZ,Third Baseman,74,200,26.77
567,Chris Young,ARZ,Outfielder,74,180,23.49
568,Scott Hairston,ARZ,Outfielder,72,188,26.77
569,Carlos Quentin,ARZ,Outfielder,73,225,24.51
570,Jeff DaVanon,ARZ,Outfielder,72,200,33.23
571,Eric Byrnes,ARZ,Outfielder,74,210,31.04
572,Livan Hernandez,ARZ,Starting Pitcher,74,245,32.02
573,Doug Davis,ARZ,Starting Pitcher,76,213,31.44
574,Randy Johnson,ARZ,Starting Pitcher,82,231,43.47
575,Juan Cruz,ARZ,Starting Pitcher,74,165,28.38
576,Brandon Webb,ARZ,Starting Pitcher,74,228,27.81
577,Enrique Gonzalez,ARZ,Starting Pitcher,70,210,24.57
578,Dana Eveland,ARZ,Starting Pitcher,73,250,23.34
579,Brandon Medders,ARZ,Relief Pitcher,73,191,27.09
580,Tony Pe?a,ARZ,Relief Pitcher,74,190,25.14
581,Doug Slaten,ARZ,Relief Pitcher,77,200,27.07
582,Edgar Gonzalez,ARZ,Relief Pitcher,72,215,24.02
583,Jose Valverde,ARZ,Relief Pitcher,76,254,27.6
584,Jorge Julio,ARZ,Relief Pitcher,73,232,27.99
585,Brandon Lyon,ARZ,Relief Pitcher,73,180,27.56
586,Miguel Olivo,FLA,Catcher,72,215,28.63
587,Matt Treanor,FLA,Catcher,74,220,30.99
588,Mike Jacobs,FLA,First Baseman,74,180,26.33
589,Dan Uggla,FLA,Second Baseman,71,200,26.97
590,Robert Andino,FLA,Shortstop,72,170,22.85
591,Hanley Ramirez,FLA,Shortstop,75,195,23.19
592,Miguel Cabrera,FLA,Third Baseman,74,210,23.87
593,Aaron Boone,FLA,Third Baseman,74,200,33.98
594,Joe Borchard,FLA,Outfielder,77,220,28.26
595,Alfredo Amezaga,FLA,Outfielder,70,165,29.12
596,Cody Ross,FLA,Outfielder,71,180,26.18
597,Josh Willingham,FLA,Outfielder,73,200,28.03
598,Jeremy Hermida,FLA,Outfielder,76,200,23.08
599,Eric Reed,FLA,Outfielder,71,170,26.24
600,Reggi Abercrombie,FLA,Outfielder,75,224,26.63
601,Ricky Nolasco,FLA,Starting Pitcher,74,220,24.21
602,Anibal Sanchez,FLA,Starting Pitcher,72,180,23.01
603,Scott Olsen,FLA,Starting Pitcher,76,198,23.13
604,Josh Johnson,FLA,Starting Pitcher,79,240,23.08
605,Dontrelle Willis,FLA,Starting Pitcher,76,239,25.13
606,Logan Kensing,FLA,Relief Pitcher,73,185,24.66
607,Sergio Mitre,FLA,Relief Pitcher,76,210,26.03
608,Kevin Gregg,FLA,Relief Pitcher,78,220,28.7
609,Travis Bowyer,FLA,Relief Pitcher,75,200,25.57
610,Renyel Pinto,FLA,Relief Pitcher,76,195,24.65
611,Randy Messenger,FLA,Relief Pitcher,72,220,25.55
612,Yusmeiro Petit,FLA,Relief Pitcher,72,230,22.27
613,Carlos Martinez,FLA,Relief Pitcher,73,170,24.76
614,Taylor Tankersley,FLA,Relief Pitcher,73,220,23.98
615,Henry Owens,FLA,Relief Pitcher,75,230,27.85
616,Jose Garcia,FLA,Relief Pitcher,71,165,22.14
617,Matt Lindstrom,FLA,Relief Pitcher,76,205,27.05
618,Javier Valentin,CIN,Catcher,70,192,31.45
619,Chad Moeller,CIN,Catcher,75,210,32.03
620,David Ross,CIN,Catcher,74,205,29.95
621,Joey Votto,CIN,First Baseman,75,200,23.47
622,Scott Hatteberg,CIN,First Baseman,73,210,37.21
623,Brandon Phillips,CIN,Second Baseman,71,185,25.67
624,Juan Castro,CIN,Shortstop,71,195,34.69
625,Alex Gonzalez,CIN,Shortstop,72,202,30.04
626,Mark Bellhorn,CIN,Third Baseman,73,205,32.52
627,Edwin Encarnacion,CIN,Third Baseman,73,195,24.15
628,Jeff Keppinger,CIN,Third Baseman,72,180,26.86
629,Norris Hopper,CIN,Outfielder,69,200,27.94
630,Chris Denorfia,CIN,Outfielder,73,185,26.63
631,Adam Dunn,CIN,Outfielder,78,240,27.31
632,Bubba Crosby,CIN,Outfielder,71,185,30.55
633,Jeff Conine,CIN,Outfielder,73,220,40.68
634,Ken Griffey Jr.,CIN,Outfielder,75,205,37.27
635,Josh Hamilton,CIN,Outfielder,76,205,25.78
636,Ryan Freel,CIN,Outfielder,70,180,30.98
637,Kyle Lohse,CIN,Starting Pitcher,74,201,28.41
638,Bronson Arroyo,CIN,Starting Pitcher,77,190,30.01
639,Eric Milton,CIN,Starting Pitcher,75,208,31.57
640,Aaron Harang,CIN,Starting Pitcher,79,240,28.81
641,Kirk Saarloos,CIN,Starting Pitcher,72,,27.77
642,Elizardo Ramirez,CIN,Starting Pitcher,72,180,24.09
643,Todd Coffey,CIN,Relief Pitcher,77,230,26.47
644,Brian Shackelford,CIN,Relief Pitcher,73,195,30.5
645,Bill Bray,CIN,Relief Pitcher,75,215,23.74
646,Bobby Livingston,CIN,Relief Pitcher,75,190,24.49
647,Matt Belisle,CIN,Relief Pitcher,75,195,26.73
648,Gary Majewski,CIN,Relief Pitcher,73,215,27.01
649,Mike Stanton,CIN,Relief Pitcher,73,215,39.75
650,Brad Salmon,CIN,Relief Pitcher,76,220,27.16
651,Jared Burton,CIN,Relief Pitcher,77,220,25.74
652,David Weathers,CIN,Relief Pitcher,75,230,37.43
653,Rheal Cormier,CIN,Relief Pitcher,70,195,39.85
654,Yorvit Torrealba,COL,Catcher,71,190,28.62
655,Chris Iannetta,COL,Catcher,71,195,23.9
656,Alvin Colina,COL,Catcher,75,209,25.18
657,Todd Helton,COL,First Baseman,74,204,33.53
658,Jamey Carroll,COL,Second Baseman,69,170,33.03
659,Kaz Matsui,COL,Second Baseman,70,185,31.35
660,Troy Tulowitzki,COL,Shortstop,75,205,22.39
661,Clint Barmes,COL,Shortstop,72,175,27.99
662,Garrett Atkins,COL,Third Baseman,75,210,27.22
663,Ryan Spilborghs,COL,Outfielder,73,190,27.49
664,Cory Sullivan,COL,Outfielder,72,180,27.53
665,Jeff Salazar,COL,Outfielder,72,180,26.26
666,Willy Taveras,COL,Outfielder,72,160,25.18
667,Matt Holliday,COL,Outfielder,76,235,27.12
668,Brad Hawpe,COL,Outfielder,75,200,27.69
669,Jeff Baker,COL,Outfielder,74,210,25.69
670,Javy Lopez,COL,Designated Hitter,75,224,36.32
671,Byung-Hyun Kim,COL,Starting Pitcher,69,180,28.11
672,Rodrigo Lopez,COL,Starting Pitcher,73,190,31.21
673,Brian Lawrence,COL,Starting Pitcher,72,197,30.8
674,Josh Fogg,COL,Starting Pitcher,72,203,30.21
675,Aaron Cook,COL,Starting Pitcher,75,205,28.06
676,Denny Bautista,COL,Starting Pitcher,77,170,26.52
677,Ubaldo Jimenez,COL,Starting Pitcher,76,200,23.1
678,Jason Hirsh,COL,Starting Pitcher,80,250,25.02
679,Jeff Francis,COL,Starting Pitcher,77,200,26.14
680,Taylor Buchholz,COL,Starting Pitcher,76,220,25.38
681,Ryan Speier,COL,Relief Pitcher,79,200,27.6
682,Ramon Ramirez,COL,Relief Pitcher,71,190,25.5
683,Manny Corpas,COL,Relief Pitcher,75,170,24.24
684,Juan Morillo,COL,Relief Pitcher,73,190,23.32
685,Brian Fuentes,COL,Relief Pitcher,76,220,31.56
686,LaTroy Hawkins,COL,Relief Pitcher,77,215,34.19
687,Tom Martin,COL,Relief Pitcher,73,206,36.78
688,Jeremy Affeldt,COL,Relief Pitcher,76,215,27.73
689,Paul Lo Duca,NYM,Catcher,70,185,34.88
690,Ramon Castro,NYM,Catcher,75,235,31
691,Julio Franco,NYM,First Baseman,73,188,48.52
692,Carlos Delgado,NYM,First Baseman,75,230,34.68
693,Jose Valentin,NYM,Second Baseman,70,195,37.38
694,Anderson Hernandez,NYM,Second Baseman,69,168,24.33
695,Damion Easley,NYM,Shortstop,71,190,37.3
696,Jose Reyes,NYM,Shortstop,72,160,23.72
697,David Wright,NYM,Third Baseman,72,200,24.19
698,Ben Johnson,NYM,Outfielder,73,200,25.7
699,Endy Chavez,NYM,Outfielder,70,189,29.06
700,David Newhan,NYM,Outfielder,70,180,33.48
701,Carlos Beltran,NYM,Outfielder,73,190,29.85
702,Shawn Green,NYM,Outfielder,76,200,34.3
703,Moises Alou,NYM,Outfielder,75,220,40.66
704,Lastings Milledge,NYM,Outfielder,72,187,21.9
705,Alay Soler,NYM,Starting Pitcher,73,240,27.39
706,Mike Pelfrey,NYM,Starting Pitcher,79,190,23.13
707,Pedro Martinez,NYM,Starting Pitcher,71,180,35.35
708,Tom Glavine,NYM,Starting Pitcher,72,185,40.93
709,Chan Ho Park,NYM,Starting Pitcher,74,210,33.67
710,Orlando Hernandez,NYM,Starting Pitcher,74,220,37.39
711,Dave Williams,NYM,Starting Pitcher,74,219,27.97
712,Oliver Perez,NYM,Starting Pitcher,72,190,25.54
713,John Maine,NYM,Starting Pitcher,76,193,25.81
714,Marcos Carvajal,NYM,Relief Pitcher,76,175,22.53
715,Ambiorix Burgos,NYM,Relief Pitcher,72,180,22.86
716,Jason Vargas,NYM,Relief Pitcher,72,215,24.07
717,Jon Adkins,NYM,Relief Pitcher,71,210,29.5
718,Juan Padilla,NYM,Relief Pitcher,72,200,30.03
719,Duaner Sanchez,NYM,Relief Pitcher,72,190,27.38
720,Pedro Feliciano,NYM,Relief Pitcher,70,185,30.51
721,Aaron Heilman,NYM,Relief Pitcher,77,220,28.3
722,Jorge Sosa,NYM,Relief Pitcher,74,170,29.84
723,Scott Schoeneweis,NYM,Relief Pitcher,72,195,33.41
724,Guillermo Mota,NYM,Relief Pitcher,76,205,33.6
725,Billy Wagner,NYM,Relief Pitcher,71,195,35.6
726,Philip Humber,NYM,Relief Pitcher,76,210,24.19
727,Brad Ausmus,HOU,Catcher,71,190,37.88
728,Humberto Quintero,HOU,Catcher,73,190,27.56
729,Hector Gimenez,HOU,Catcher,70,180,24.42
730,Lance Berkman,HOU,First Baseman,73,220,31.05
731,Mike Lamb,HOU,First Baseman,73,190,31.56
732,Mark Loretta,HOU,Second Baseman,72,186,35.55
733,Craig Biggio,HOU,Second Baseman,71,185,41.21
734,Brooks Conrad,HOU,Second Baseman,71,190,27.12
735,Chris Burke,HOU,Second Baseman,71,180,26.97
736,Eric Bruntlett,HOU,Second Baseman,72,190,28.92
737,Adam Everett,HOU,Shortstop,72,170,30.06
738,Morgan Ensberg,HOU,Third Baseman,74,210,31.51
739,Carlos Lee,HOU,Outfielder,74,240,30.69
740,Jason Lane,HOU,Outfielder,74,220,30.19
741,Orlando Palmeiro,HOU,Outfielder,71,180,38.11
742,Luke Scott,HOU,Outfielder,72,210,28.68
743,Charlton Jimerson,HOU,Outfielder,75,210,27.44
744,Fernando Nieve,HOU,Starting Pitcher,72,195,24.63
745,Wandy Rodriguez,HOU,Starting Pitcher,71,160,28.11
746,Brandon Backe,HOU,Starting Pitcher,72,180,28.9
747,Matt Albers,HOU,Starting Pitcher,72,205,24.11
748,Woody Williams,HOU,Starting Pitcher,72,200,40.53
749,Roy Oswalt,HOU,Starting Pitcher,72,185,29.5
750,Jason Jennings,HOU,Starting Pitcher,74,245,28.62
751,Miguel Asencio,HOU,Relief Pitcher,74,190,26.42
752,Brad Lidge,HOU,Relief Pitcher,77,210,30.18
753,Trever Miller,HOU,Relief Pitcher,75,200,33.75
754,David Borkowski,HOU,Relief Pitcher,73,200,30.06
755,Dan Wheeler,HOU,Relief Pitcher,75,222,29.22
756,Paul Estrada,HOU,Relief Pitcher,73,215,24.47
757,Lincoln Holdzkom,HOU,Relief Pitcher,76,240,24.94
758,Chris Sampson,HOU,Relief Pitcher,72,170,28.77
759,Chad Qualls,HOU,Relief Pitcher,77,220,28.54
760,Ezequiel Astacio,HOU,Relief Pitcher,75,156,27.32
761,Mike Lieberthal,LA,Catcher,72,190,35.12
762,Russell Martin,LA,Catcher,71,202,24.04
763,Olmedo Saenz,LA,First Baseman,71,221,36.39
764,James Loney,LA,First Baseman,75,200,22.81
765,Nomar Garciaparra,LA,First Baseman,72,190,33.6
766,Jeff Kent,LA,Second Baseman,73,210,38.98
767,Ramon Martinez,LA,Second Baseman,73,190,34.39
768,Marlon Anderson,LA,Second Baseman,71,200,33.15
769,Rafael Furcal,LA,Shortstop,70,165,29.35
770,Wilson Betemit,LA,Third Baseman,75,190,26.59
771,Andy LaRoche,LA,Third Baseman,71,185,23.46
772,Matt Kemp,LA,Outfielder,76,230,22.43
773,Andre Ethier,LA,Outfielder,73,208,24.89
774,Delwyn Young,LA,Outfielder,68,209,24.67
775,Jason Repko,LA,Outfielder,71,175,26.17
776,Juan Pierre,LA,Outfielder,72,180,29.54
777,Luis Gonzalez,LA,Outfielder,74,200,39.49
778,Jason Schmidt,LA,Starting Pitcher,77,205,34.08
779,Randy Wolf,LA,Starting Pitcher,72,200,30.52
780,Brad Penny,LA,Starting Pitcher,76,250,28.77
781,Derek Lowe,LA,Starting Pitcher,78,210,33.75
782,Mark Hendrickson,LA,Starting Pitcher,81,230,32.69
783,Chad Billingsley,LA,Starting Pitcher,72,244,22.59
784,Takashi Saito,LA,Relief Pitcher,73,202,37.04
785,Jonathan Broxton,LA,Relief Pitcher,76,240,22.7
786,Hong-Chih Kuo,LA,Relief Pitcher,72,200,25.6
787,Eric Stults,LA,Relief Pitcher,72,215,27.23
788,Chin-Hui Tsao,LA,Relief Pitcher,74,177,25.74
789,Tim Hamulack,LA,Relief Pitcher,76,210,30.29
790,Yhency Brazoban,LA,Relief Pitcher,73,170,26.72
791,Brett Tomko,LA,Relief Pitcher,76,215,33.9
792,Joe Beimel,LA,Relief Pitcher,75,217,29.86
793,Elmer Dessens,LA,Relief Pitcher,70,198,36.13
794,Ryan Budde,PHI,Catcher,71,200,27.54
795,Rod Barajas,PHI,Catcher,74,220,31.49
796,Carlos Ruiz,PHI,Catcher,72,170,28.1
797,Chris Coste,PHI,Catcher,73,200,34.07
798,Ryan Howard,PHI,First Baseman,76,230,27.28
799,Wes Helms,PHI,First Baseman,76,231,30.8
800,Chase Utley,PHI,Second Baseman,73,183,28.2
801,Danny Sandoval,PHI,Second Baseman,71,192,27.9
802,Jimmy Rollins,PHI,Shortstop,68,167,28.26
803,Abraham Nu?ez,PHI,Third Baseman,71,190,30.96
804,Michael Bourn,PHI,Outfielder,71,180,24.18
805,Chris Roberson,PHI,Outfielder,74,180,27.52
806,Jayson Werth,PHI,Outfielder,77,215,27.78
807,Shane Victorino,PHI,Outfielder,69,160,26.25
808,Aaron Rowand,PHI,Outfielder,72,205,29.5
809,Pat Burrell,PHI,Outfielder,76,223,30.39
810,Greg Dobbs,PHI,Designated Hitter,73,205,28.66
811,Cole Hamels,PHI,Starting Pitcher,75,175,23.18
812,Alfredo Simon,PHI,Starting Pitcher,76,170,25.81
813,Scott Mathieson,PHI,Starting Pitcher,75,190,23.01
814,Freddy Garcia,PHI,Starting Pitcher,76,240,31.72
815,Jamie Moyer,PHI,Starting Pitcher,72,175,44.28
816,Jon Lieber,PHI,Starting Pitcher,74,230,36.91
817,Brett Myers,PHI,Starting Pitcher,76,223,26.54
818,Adam Eaton,PHI,Starting Pitcher,74,196,29.27
819,Geoff Geary,PHI,Relief Pitcher,72,167,30.51
820,Clay Condrey,PHI,Relief Pitcher,75,195,31.28
821,Ryan Madson,PHI,Relief Pitcher,78,190,26.51
822,Antonio Alfonseca,PHI,Relief Pitcher,77,250,34.87
823,Tom Gordon,PHI,Relief Pitcher,70,190,39.28
824,Brian Sanches,PHI,Relief Pitcher,72,190,28.56
825,Jim Ed Warden,PHI,Relief Pitcher,79,190,27.82
826,Anderson Garcia,PHI,Relief Pitcher,74,170,25.94
827,Eude Brito,PHI,Relief Pitcher,71,160,28.53
828,Fabio Castro,PHI,Relief Pitcher,68,150,22.11
829,Matt Smith,PHI,Relief Pitcher,77,225,27.71
830,Damian Miller,MLW,Catcher,75,220,37.38
831,Johnny Estrada,MLW,Catcher,71,209,30.67
832,Mike Rivera,MLW,Catcher,72,210,30.48
833,J.D. Closser,MLW,Catcher,70,176,27.12
834,Prince Fielder,MLW,First Baseman,72,260,22.81
835,Rickie Weeks,MLW,Second Baseman,72,195,24.46
836,Tony Graffanino,MLW,Second Baseman,73,190,34.73
837,Craig Counsell,MLW,Shortstop,72,184,36.53
838,J.J. Hardy,MLW,Shortstop,74,180,24.53
839,Bill Hall,MLW,Shortstop,72,195,27.17
840,Vinny Rottino,MLW,Third Baseman,72,195,26.9
841,Corey Koskie,MLW,Third Baseman,75,219,33.67
842,Kevin Mench,MLW,Outfielder,72,225,29.14
843,Geoff Jenkins,MLW,Outfielder,73,212,32.61
844,Brady Clark,MLW,Outfielder,74,202,33.87
845,Tony Gwynn Jr.,MLW,Outfielder,72,185,24.41
846,Corey Hart,MLW,Outfielder,78,200,24.94
847,Gabe Gross,MLW,Outfielder,75,209,27.36
848,Laynce Nix,MLW,Outfielder,72,200,26.33
849,Drew Anderson,MLW,Outfielder,74,195,25.72
850,Claudio Vargas,MLW,Starting Pitcher,75,228,28.7
851,Chris Capuano,MLW,Starting Pitcher,75,210,28.53
852,Ben Hendrickson,MLW,Starting Pitcher,76,190,26.07
853,Dave Bush,MLW,Starting Pitcher,74,212,27.31
854,Carlos Villanueva,MLW,Starting Pitcher,74,190,23.26
855,Ben Sheets,MLW,Starting Pitcher,73,218,28.62
856,Jeff Suppan,MLW,Starting Pitcher,74,220,32.16
857,Brian Shouse,MLW,Relief Pitcher,71,190,38.43
858,Francisco Cordero,MLW,Relief Pitcher,74,235,31.81
859,Derrick Turnbow,MLW,Relief Pitcher,75,210,29.1
860,Matt Wise,MLW,Relief Pitcher,76,200,31.28
861,Grant Balfour,MLW,Relief Pitcher,74,188,29.17
862,Dennis Sarfate,MLW,Relief Pitcher,76,210,25.89
863,Jose Capellan,MLW,Relief Pitcher,76,235,26.13
864,Greg Aquino,MLW,Relief Pitcher,73,188,29.13
865,Josh Bard,SD,Catcher,75,215,28.92
866,Rob Bowen,SD,Catcher,75,216,26.01
867,Adrian Gonzalez,SD,First Baseman,74,220,24.81
868,Marcus Giles,SD,Second Baseman,68,180,28.79
869,Todd Walker,SD,Second Baseman,72,185,33.77
870,Geoff Blum,SD,Shortstop,75,200,33.85
871,Khalil Greene,SD,Shortstop,71,210,27.36
872,Paul McAnulty,SD,Outfielder,70,220,26.01
873,Terrmel Sledge,SD,Outfielder,72,185,29.95
874,Jack Cust,SD,Outfielder,73,231,28.12
875,Jose Cruz Jr.,SD,Outfielder,72,210,32.87
876,Russell Branyan,SD,Outfielder,75,195,31.2
877,Mike Cameron,SD,Outfielder,74,200,34.14
878,Brian Giles,SD,Outfielder,70,205,36.11
879,Kevin Kouzmanoff,SD,Designated Hitter,73,200,25.6
880,Mike Thompson,SD,Starting Pitcher,76,200,26.31
881,Clay Hensley,SD,Starting Pitcher,71,190,27.5
882,Chris Young,SD,Starting Pitcher,82,250,27.77
883,Greg Maddux,SD,Starting Pitcher,72,185,40.88
884,Jake Peavy,SD,Starting Pitcher,73,180,25.75
885,Scott Cassidy,SD,Relief Pitcher,74,170,31.41
886,Scott Strickland,SD,Relief Pitcher,71,180,30.84
887,Scott Linebrink,SD,Relief Pitcher,75,208,30.57
888,Doug Brocail,SD,Relief Pitcher,77,235,39.79
889,Trevor Hoffman,SD,Relief Pitcher,72,215,39.38
890,Heath Bell,SD,Relief Pitcher,74,244,29.42
891,Royce Ring,SD,Relief Pitcher,72,220,26.19
892,Cla Meredith,SD,Relief Pitcher,73,185,23.74
893,Andrew Brown,SD,Relief Pitcher,78,230,26.03
894,Mike Adams,SD,Relief Pitcher,77,190,28.59
895,Justin Hampson,SD,Relief Pitcher,73,200,26.77
896,Kevin Cameron,SD,Relief Pitcher,73,180,27.21
897,Ryan Ketchner,SD,Relief Pitcher,73,190,24.87
898,Brian Schneider,WAS,Catcher,73,196,30.26
899,Jesus Flores,WAS,Catcher,73,180,22.34
900,Larry Broadway,WAS,First Baseman,76,230,26.2
901,Nick Johnson,WAS,First Baseman,75,224,28.45
902,Bernie Castro,WAS,Second Baseman,70,160,27.63
903,Josh Wilson,WAS,Shortstop,73,178,25.93
904,Cristian Guzman,WAS,Shortstop,72,205,28.94
905,Felipe Lopez,WAS,Shortstop,73,185,26.8
906,Ryan Zimmerman,WAS,Third Baseman,75,210,22.42
907,Nook Logan,WAS,Outfielder,74,180,27.26
908,Ryan Church,WAS,Outfielder,73,190,28.38
909,Kory Casto,WAS,Outfielder,73,200,25.23
910,Mike Restovich,WAS,Outfielder,76,257,28.16
911,Alex Escobar,WAS,Outfielder,73,190,28.48
912,Austin Kearns,WAS,Outfielder,75,220,26.78
913,Chris Snelling,WAS,Outfielder,70,165,25.24
914,Billy Traber,WAS,Starting Pitcher,77,205,27.45
915,Tim Redding,WAS,Starting Pitcher,72,200,29.05
916,John Patterson,WAS,Starting Pitcher,77,208,29.08
917,Shawn Hill,WAS,Starting Pitcher,74,185,25.84
918,Joel Hanrahan,WAS,Starting Pitcher,75,215,25.4
919,Mike O'Connor,WAS,Starting Pitcher,75,170,26.54
920,Emiliano Fruto,WAS,Relief Pitcher,75,235,22.73
921,Chris Schroder,WAS,Relief Pitcher,75,210,28.53
922,Brett Campbell,WAS,Relief Pitcher,72,170,25.37
923,Beltran Perez,WAS,Relief Pitcher,74,180,25.35
924,Levale Speigner,WAS,Relief Pitcher,71,170,26.43
925,Jason Bergmann,WAS,Relief Pitcher,76,190,25.43
926,Saul Rivera,WAS,Relief Pitcher,71,150,29.23
927,Chris Booker,WAS,Relief Pitcher,75,230,30.22
928,Micah Bowie,WAS,Relief Pitcher,76,203,32.3
929,Jon Rauch,WAS,Relief Pitcher,83,260,28.42
930,Jerome Williams,WAS,Relief Pitcher,75,246,25.24
931,Luis Ayala,WAS,Relief Pitcher,74,186,29.13
932,Ryan Wagner,WAS,Relief Pitcher,76,210,24.63
933,Chad Cordero,WAS,Relief Pitcher,72,198,24.95
934,Humberto Cota,PIT,Catcher,72,210,28.06
935,Ronny Paulino,PIT,Catcher,75,215,25.86
